id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Pháp luật đại cương,1,1,Đại cương,1
2,Hóa đại cương 1,1,1,Đại cương,1
3,Vi tích phân 1B,1,1,Đại cương,1
4,Thực hành vi tích phân 1B,1,0,Đại cương,1
5,Vật lý đại cương 1 (Cơ-nhiệt),1,1,Đại cương,1
6,Giới thiệu ngành Hải dương,1,1,Cơ sở ngành,1
7,Anh văn 1,1,2,Đại cương,1
8,Tin học cơ sở,1,2,Đại cương,1
9,Thể dục 1,1,2,Đại cương,1
10,Triết học Mác - Lênin,1,1,Đại cương,2
11,Kinh tế chính trị Mác - Lênin,1,1,Đại cương,2
12,Sinh đại cương 1,1,0,Đại cương,2
13,Sinh đại cương 2,1,0,Đại cương,2
14,Vi tích phân 2B,1,1,Đại cương,2
15,Thực hành Vi tích phân 2B,1,0,Đại cương,2
16,Đại số tuyến tính,1,1,Đại cương,2
17,Vật lý đại cương 2 (Điện từ-Quang),1,1,Đại cương,2
18,Lập trình ứng dụng,1,1,Cơ sở ngành,2
19,Anh văn 2,1,2,Đại cương,2
20,Thể dục 2,1,2,Đại cương,2
21,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
22,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
23,Tư tưởng Hồ Chí Minh,2,1,Đại cương,1
24,Xác suất thống kê,2,1,Đại cương,1
25,Hóa đại cương 2,2,1,Đại cương,1
26,Kinh tế đại cương,2,0,Đại cương,1
27,Phương pháp luận sáng tạo,2,0,Đại cương,1
28,Tâm lý đại cương,2,0,Đại cương,1
29,Môi trường đại cương,2,1,Đại cương,1
30,Phương pháp tính,2,1,Cơ sở ngành,1
31,Hàm phức,2,1,Đại cương,1
32,Anh văn 3,2,2,Đại cương,1
33,Giáo dục quốc phòng,2,2,Đại cương,1
34,Thực hành Vật lý ĐC,2,1,Đại cương,2
35,Các phương pháp toán lý,2,1,Cơ sở ngành,2
36,Cơ chất lỏng,2,1,Cơ sở ngành,2
37,Hải dương học đại cương,2,1,Cơ sở ngành,2
38,Khí tượng học đại cương,2,1,Cơ sở ngành,2
39,Thủy văn học đại cương,2,1,Cơ sở ngành,2
40,Đo đạc và phân tích số liệu ngẫu nhiên,2,1,Cơ sở ngành,2
41,Anh văn 4,2,2,Đại cương,2
42,Thiên văn học đại cương,3,1,Cơ sở ngành,1
43,Nhập môn Tương tác đại dương - khí quyển,3,1,Cơ sở ngành,1
44,Động lực học lưu chất địa vật lý,3,1,Cơ sở ngành,1
45,Mô hình số của các dòng địa vật lý,3,1,Cơ sở ngành,1
46,Viễn thám và GIS,3,1,Cơ sở ngành,1
47,"Thực tập thực tế HD, KT & TV",3,1,Cơ sở ngành,1
48,Các phương pháp khai thác dữ liệu 1,3,0,Cơ sở ngành,1
49,Khai thác dữ liệu trong khoa học Trái Đất,3,1,Cơ sở ngành,1
50,Địa lý học tự nhiên,3,0,Chuyên ngành,1
51,Chu trình sinh địa hóa,3,0,Chuyên ngành,1
52,Cơ sở địa mạo địa chất biển,3,0,Chuyên ngành HD,1
53,Nhiệt động lực học khí quyển,3,1,Chuyên ngành KT,1
54,Động lực học sông ngòi,3,1,Chuyên ngành TV,1
55,Ô nhiễm môi trường,3,1,Cơ sở ngành,2
56,Hải lưu,3,1,Chuyên ngành HD,2
57,Cơ học sóng nước,3,1,Chuyên ngành HD,2
58,Thủy triều,3,1,Chuyên ngành HD,2
59,Hải dương học thực hành,3,1,Chuyên ngành HD,2
60,Cửa sông đại cương,3,0,Chuyên ngành HD,2
61,Các chuyên đề hải dương,3,0,Chuyên ngành HD,2
62,Vật lý biển,3,0,Chuyên ngành HD,2
63,Sóng mặt đại dương,3,0,Chuyên ngành HD,2
64,"Quản lý và phân tích dữ liệu hải dương, khí tượng và thủy văn",3,0,Chuyên ngành,2
65,Khí tượng động lực,3,1,Chuyên ngành KT,2
